Gene	117-A2	117-A3	124-A1	124-A2	117-A1	120-A1	120-A2	120-A3
LRP3	37.73959072671454	63.43845066902647	26.422407709341574	45.43824912809042	57.957371852595436	27.216606562038532	31.857633574297896	25.27301839000741
LRP4	1.8227452360902443	7.773352005410932	4.813983036178668	10.64617776331666	7.8933131279840065	18.921408181339494	18.354663637731747	22.50431474749249
LRP5	30.559463831712783	50.328558232695435	56.38162530023249	72.74084806345152	36.30770247443921	33.88035318052012	32.9163724975443	33.73845967323699
LRP5L	6.510452834615147	6.562937524676117	7.8985923907962725	6.410609306738256	2.7349228207072533	1.5335653932935889	2.3416093319585896	2.5135924509345333
LRP6	35.30065010227265	16.628669489594465	38.461725915685896	54.25916715165536	28.907335607085408	29.454620595987574	37.292438901463534	36.623880817486665
LRP8	43.710396783549754	4.139677982227245	0.0	1.0665734659113442	3.234297648261008	3.954812435191253	3.6958373978721455	5.76253042510467
LRPAP1	18.13288509642825	24.945696838325762	15.670348176866696	20.66097605354552	26.94225604126285	14.17982900623904	15.341382220636378	13.624145422682533
LRPPRC	73.4799226838552	90.02806995690071	125.08125125225928	87.70246460297787	90.67098090705498	65.48696406920969	55.994420898691565	58.447345353262435
LRR1	4.696630332025274	4.945511320897491	3.1163112144766174	5.2801849939801215	3.110804409043056	5.468572270892663	2.3700775318559484	5.154167509028944
LRRC1	8.336124207732809	8.146290185679304	28.801153049339003	22.11051093477253	6.7867710178843526	28.60960782063363	16.336087446452886	21.65463047211916
LRRC10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC10B	0.0	0.0	3.1424546561890803	5.3020917493493815	0.0	0.0	1.315372600617838	1.099799457714018
LRRC14	31.24069450973048	22.56798215390368	16.621941910204434	25.1757284026546	18.424921623799253	14.927080543192375	19.817892090928854	18.957674602973594
LRRC14B	1.8912875605166573	0.0	0.0	1.4586513256759468	0.0	0.0	0.0	0.0
LRRC15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC16A	26.862659523769153	12.648469374080396	24.922469261119623	18.060060516417106	15.529206669251273	13.979239060836074	15.187810605457782	16.786873305776048
LRRC16B	0.0	1.3109521388489098	1.213267953956231	0.0	0.0	0.0	0.0	0.0
LRRC17	2.1509127665361034	1.916191338970909	3.5316346629048048	9.853077417027688	2.240119134511331	2.215658862547975	1.2837237097637453	4.446476449367287
LRRC18	1.8229256391128963	1.9799012562637528	0.0	0.0	0.0	0.0	2.0529497762314475	1.2603562348760586
LRRC19	2.160834932781965	7.650354659968348	20.48537549244937	20.70559811811545	15.724555864930144	5.966591753453296	2.236511085774996	2.150669073524041
LRRC2	1.4947364603043192	1.9788382543382	0.0	2.400070765410788	1.2119498841443588	1.2531180372008148	4.822979443557593	2.1904557951287846
LRRC20	23.472309438464976	9.467776375217783	4.4851696150202685	6.813866577786182	7.003964135325491	24.084163994114704	22.309761418223637	24.79664161765184
LRRC23	9.478771696787607	11.282210958383414	11.42650738555399	14.308123119149947	22.497685881297464	20.83845067137882	21.332903276458484	14.691445416901734
LRRC24	4.977405988420443	6.187513585605912	2.2339396761707877	5.092878445476846	5.168414441121096	0.0	2.0125917968670057	0.0
LRRC25	19.02602438097393	23.32486960985795	8.065385442539746	23.2456194448172	14.76523390159034	11.581579440162413	16.200417094075494	14.903907060678868
LRRC26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC27	10.263817098220649	5.580738046851888	11.006239893910227	9.157493716265966	7.700522152608374	9.38298660248172	11.662352162740984	9.722899409356003
LRRC28	4.57701663349816	11.20370936077242	12.085982670014547	12.8519985241971	4.778173589914172	13.704826552974064	10.688629564634095	13.736889403509286
LRRC29	7.933681144800656	18.46586273735266	7.194434545629036	16.388173836903597	13.85831604807598	17.09945504275908	18.48127048819906	17.576436114027654
LRRC3	7.339877379620584	1.956500171421497	0.0	2.5110094045391405	2.133014693805573	0.0	2.2866662253610315	1.0780724627295355
LRRC30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC31	0.0	1.3096098482098977	0.0	0.0	0.0	0.0	0.0	0.0
