,TWDN-WUR-124-A1,TWDN-WUR-124-A2,TWDN-WUR-117-A1,TWDN-WUR-117-A2,TWDN-WUR-120-A1,TWDN-WUR-120-A2,TWDN-WUR-120-A3
RNU6-1060P,0,0,0,0,0,0,0
RP11-439H9.1,0.404249336346974,0.550279413215837,1.09756326296387,0.0185059105102283,0.162153907964778,0.251375953414003,0.0617224759089461
NRSN1,1.27494021463276,1.74910242057891,2.67625014804888,1.10110167535858,0.0926593759798729,0.107732551463144,0.0617224759089461
DCDC2,227.571645628149,247.841917145176,317.165712770175,423.711327042187,18.8252965532442,9.66899649381718,8.21790679244825
KAAG1,4.84062666856505,5.64036398546233,7.03643297352177,0.786501196684703,0.200761981289725,0.0897771262192867,0.0793574690257879
RNU6-391P,0,0.0393056723725598,0,0.00925295525511416,0.0154432293299788,0.026933137865786,0
MRS2,42.1870461264663,26.8457742304583,40.8128147577454,7.93903560888794,16.4161527777675,16.0611278806304,12.2386852230882
GPLD1,6.72712357151759,5.46348845978581,6.25460708757491,1.82283218525749,2.57129768344147,2.71126921182246,1.58714938051576
ALDH5A1,25.4469774546621,16.292201198426,29.1681195910945,2.16519152969671,15.4046212566539,17.497561900139,11.083593173935
KIAA0319,7.21429584865369,3.9109144010697,3.96175232590382,1.23064304893018,13.0726936278271,12.3802657056396,8.12091433030563
AL512385.1,0,0,0,0,0,0,0
TDP2,57.0509832629166,38.0478908566378,35.2798931033522,7.43012306985667,50.4067005330509,78.285654063218,39.1673197125055
ACOT13,36.2787865952413,25.2342416631834,23.6577506064883,5.02435470352699,21.164945796736,20.9090926964719,12.4414876439319
RP1-30M3.5,0,0,0,0,0,0,0
C6orf62,66.1414106469242,83.7603878259248,63.3128616485047,24.6128609786037,39.0713702048464,46.7649050476264,44.1227527783381
RP1-30M3.6,0,0,0,0,0,0,0
RP3-369A17.4,0.145115146380965,0.255486870421638,0.0826931225520721,0.0185059105102283,0.146710678634799,0.116710264085073,0.0264524896752626
GMNN,6.61310452793255,10.2391276530518,6.29219487055313,7.27282283051973,9.60568864324682,6.47293080041057,4.92016307959885
C6orf229,0,0,0,0,0,0,0
RP3-369A17.6,0.435345439142895,0.491320904656997,0.105245792339001,0.0462647762755708,0.0926593759798729,0.0897771262192867,0.0440874827921044
FAM65B,180.087896658778,161.546313451221,30.3934813161843,19.3479294384437,128.734759694703,30.6768440291303,47.7202913741738
AL512428.1,0,0,0,0,0,0,0
RP11-367G6.3,8.94531223762663,9.43336136941434,0.496158735312433,0.101782507806256,2.28559794083686,0.727194722376222,0.326247372661572
RN7SL334P,0.0103653675986404,0,0,0,0,0,0
RP3-425P12.5,6.43689327875567,3.43924633259898,1.16522127232465,0.0740236420409132,1.06558282376854,0.727194722376222,0.396787345128939
RP3-425P12.1,0,0,0,0,0,0,0
RP3-425P12.2,0,0,0,0,0.0154432293299788,0,0
AL590084.1,0,0,0,0,0,0,0
RP3-522P13.3,1.14019043585044,3.24271797073618,0.947212131051008,0.212817970867626,2.15433049153205,1.93020821371466,3.10375878856415
LRRC16A,286.353645280039,279.817081620253,127.392514069765,52.1496558178234,138.780580373855,109.303651171982,120.676257898548
AL024509.1,0,0,0,0,0,0,0
